Lemma,Classes
"['omran', 'he', 'alive', 'wanted', 'know', 'cnn', 'anchor', 'kate', 'bolduan', 'get', 'emotional', 'reporting', 'heartbreaking', 'photo', 'aleppo', 'syria']",0
"['heartbreaking', 'face', 'war', 'omran', 'young', 'boy', 'bloodied', 'airstrike', 'syria', 'reminds', 'u', 'human', 'cost', 'war']",0
"['tear', '13yearold', 'syrian', 'boy', 'recount', 'story', 'gas', 'attack', 'killed', '19', 'member', 'family']",0
"['aya', '8', 'pulled', 'rubble', 'airstrike', 'hit', 'home', 'syria', 'rescue', 'worker', 'tried', 'wipe', 'blood', 'away', 'shouted', 'baba', 'mean', 'dad', 'arabic']",0
"['give', 'family', 'brother', '6yearold', 'boy', 'respect', 'president', 'obama', 'wrote', 'letter', 'offering', 'take', 'little', 'boy', 'syria']",0
"['france', 'bombing', 'isi', 'targeting', '20', 'site', 'syria', 'parisattacks', 'new', 'video', 'show', 'french', 'jet', 'departing', 'isi', 'stronghold', 'unknown', 'location']",0
"['yemen', 'india', 'syria', 'sudan', 'here', 'muslim', 'celebrating', 'ramadan', 'around', 'world']",0
"['dad', 'lost', 'sweetheart', 'baby', 'twin', 'wife', '20', 'relative', 'suspected', 'chemical', 'attack', 'syria']",0
"['theyre', 'saying', 'theyre', 'frightened', 'child', 'thousand', 'kurdish', 'civilian', 'fleeing', 'northern', 'syria', 'president', 'trump', 'ordered', 'u', 'soldier', 'withdraw', 'paving', 'way', 'turkish', 'military', 'offensive', 'region', 'kurd', 'main', 'ally', 'united', 'state', 'battle', 'isi', 'feel', 'abandoned', 'betrayed', 'northern', 'syria', 'amid', 'scene', 'chaos', 'family', 'bury', 'dead', 'flee', 'despite', 'knowing', 'safety', 'able', 'sleep']",0
"['cnns', 'fareed', 'zakaria', 'talk', 'human', 'new', 'york', 'photographer', 'brandon', 'stanton', 'project', 'documenting', 'life', 'syrian', 'refugee', 'including', 'aya', 'fled', 'iraq', 'syria']",0
"['russia', 'say', 'fighting', 'daesh', 'islamic', 'state', 'daesh', 'city', 'two', 'year', 'even', 'free', 'syrian', 'army', 'civilian', 'living']",0
"['artist', 'choice', 'syrian', 'child', 'illustration', 'vivid', 'reminder', 'toll', 'war', 'syria']",0
"['place', 'ticking', 'time', 'bomb', 'alhol', 'sprawling', 'encampment', 'displaced', 'former', 'isi', 'territory', 'northeastern', 'syria', 'living', 'condition', 'worsen', 'nostalgia', 'isisâ', 'rule', 'beginning', 'brew', 'cnnâ', 'arwa', 'damon', 'go', 'inside', 'see', 'family', 'isi', 'member', 'shunned', 'international', 'community', 'trying', 'bring', 'fundamentalist', 'utopia', 'back', 'life']",0
"['cannot', 'one', 'breath', 'speak', 'protecting', 'syrian', 'baby', 'next', 'close', 'america', 'door']",0
"['aftermath', 'suspected', 'chemical', 'attack', 'syria', 'yesterday', 'least', '70', 'people', 'killed', 'medic', 'say']",0
"['russia', 'say', 'significantly', 'reduced', 'isi', 'export', 'capability', 'income', 'striking', 'oil', 'tanker', 'storage', 'facility', 'syria']",0
"['even', 'russian', 'president', 'vladimir', 'putin', 'announced', 'intention', 'start', 'air', 'strike', 'target', 'syria', 'russian', 'news', 'outlet', 'social', 'medium', 'user', 'started', 'visualising', 'moscow', 'might', 'overshadowing', 'washington', 'role', 'conflict']",0
"['photo', 'syrian', 'child', 'ambulance', 'going', 'viral', 'story', 'rarely', 'capture', 'public', 'attention', 'march', '2015', 'al', 'jazeeras', 'barry', 'malone', 'wrote', 'worldwide', 'indifference', 'war', 'syria']",0
"['battle', 'aleppo', 'final', 'goodbye', 'city', 'siege', 'syria']",0
"['member', 'local', 'rescue', 'team', 'killed', 'another', 'injured', 'suspected', 'russian', 'airstrikes', 'idlib', 'saturday', 'known', 'syrian', 'civil', 'defence', 'white', 'helmet', 'group', 'volunteer', 'rescuer', 'formed', '2013', 'number', '2700', 'volunteer', 'al', 'jazeera', 'spoke', 'james', 'le', 'mesurier', 'founder', 'programme', 'august']",0
"['world', 'outraged', 'chemical', 'attack', 'idlib', 'april', '4', 'syrian', 'day', 'like']",0
"['russian', 'ministry', 'defense', 'released', 'new', 'video', 'showing', 'cruise', 'missile', 'strike', 'syria']",0
"['president', 'donald', 'j', 'trump', 'said', 'â', 'œassad', 'choked', 'life', 'helpless', 'men', 'woman', 'childrenâ', 'u', 'launched', 'missile', 'syria', 'thursday', 'night', 'httpcnnit2ogld6vhttpwwwcnncom20170406politicsdonaldtrumpsyriamilitaryindexhtmlsrfbcnn040717donaldtrumpsyriamilitary0209amvodtopvideolinkid36278069']",0
"['syrian', 'government', 'force', 'accused', 'dropping', 'chlorine', 'bomb', 'civilian', 'area', 'least', 'one', 'child', 'died', 'result', 'suffocation', 'eastern', 'ghouta']",0
"['fortyone', 'group', 'including', 'powerful', 'ahrar', 'alsham', 'faction', 'unit', 'fighting', 'free', 'syrian', 'army', 'condemned', 'russianiranian', 'alliance', 'occupying', 'syria']",0
"['alex', 'assali', 'became', 'refugee', 'twice', 'fleeing', 'assad', 'syria', 'later', 'fleeing', 'isil', 'libya', 'met', 'photo', 'feeding', 'homeless', 'berlin', 'went', 'viral', 'found', 'man', 'looking', 'love']",0
"['syrian', 'child', 'still', 'dying', 'malnutrition']",0
"['turkish', 'bakery', 'producing', '170000', 'loaf', 'bread', 'per', 'day', 'sending', 'syria', 'needy', 'working', 'six', 'day', 'week', 'past', 'two', 'year', 'hassan', 'ghani', 'writes', 'encounter', 'charity']",0
"['complicated', 'might', 'think']",0
"['effort', 'save', 'life', 'dangerous', 'place', 'earth', 'aweinspiring', 'merit', 'deepest', 'respect']",0
"['napalmlike', 'bomb', 'dropped', 'syria', 'homs', 'girl', 'survived']",0
"['president', 'donald', 'j', 'trump', 'order', 'u', 'warship', 'launched', '5060', 'tomahawk', 'cruise', 'missile', 'syrian', 'government', 'airbase', 'pentagon', 'released', 'first', 'footage', 'showing', 'strike']",0
"['breaking', 'french', 'ministry', 'defense', 'announced', 'major', 'bombardment', 'isi', 'target', 'raqqa', 'syria']",0
"['exclusive', 'report', 'harrowing', 'new', 'footage', 'show', 'final', 'moment', 'child', 'killed', 'syria', 'chemical', 'attack']",0
"['100', 'people', 'killed', 'bomb', 'hit', 'bus', 'evacuee', 'near', 'aleppo', 'syria', 'syria', 'civil', 'defense', 'say']",0
"['2014', 'khaled', 'omar', 'harrah', 'white', 'helmet', 'rescued', '10dayold', 'baby', 'trapped', 'rubble', 'collapsed', 'building', '16', 'hour', 'august', '11', 'killed', 'air', 'strike']",0
"['al', 'jazeera', 'week', 'published', 'special', 'content', '4th', 'anniversary', 'grinding', 'conflict', 'syria', 'important', 'data', 'told', 'u', 'something', 'people', 'cared']",0
"['orphan', 'syria', 'make', 'plea', 'leave', 'aleppo']",0
"['evil', 'despicable', 'attack', 'left', 'mother', 'father', 'infant', 'child', 'thrashing', 'pain', 'gasping', 'air', 'action', 'man', 'crime', 'monster', 'instead', 'president', 'donald', 'j', 'trump', 'said', 'announcing', 'ordered', 'strike', 'syrian', 'regime', 'response', 'suspected', 'chemical', 'weapon', 'attack', 'httpscnnit2ek3rtehttpswwwcnncom20180413politicstrumpussyriaindexhtmlsrfbcnn041318trumpussyria0922pmvodtopvideo']",0
"['nurse', 'seen', 'removing', 'infant', 'damaged', 'incubator', 'one', 'hospital', 'staff', 'using', 'cloth', 'protect', 'visibly', 'undernourished', 'baby']",0
"['breaking', 'united', 'state', 'launched', 'military', 'strike', 'syrian', 'government', 'target', 'retaliation', 'chemical', 'weapon', 'attack', 'civilian', 'earlier', 'week']",0
"['president', 'â', 'œa', 'belligerent', 'state', 'beginningâ', 'say', 'sen', 'bob', 'menendez', 'reacting', 'meeting', 'democratic', 'leader', 'trump', 'syria', 'â', 'œi', 'concerned', 'nation', 'concerned', 'fight', 'isisâ', '']",0
"['meet', 'arab', 'woman', 'fighting', 'isil', 'syria']",0
"['syria', 'president', 'basharal', 'assad', 'say', 'report', 'chemical', 'attack', 'force', '100', 'fabrication']",0
"['word', 'iconic', 'become', 'positively', 'obscene', 'syria', 'run', 'icon', 'syria', 'pain', 'barometer', 'measurement', 'hamid', 'dabashi']",0
"['besieged', 'syrian', 'regime', 'force', 'hezbollah', 'fighter', '170', 'day', 'people', 'madaya', 'syria', 'starving', 'death', 'cat', 'dog', 'alive', 'town', 'even', 'tree', 'leaf', 'eating', 'become', 'scarce', 'one', 'resident', 'told', 'al', 'jazeera']",0
"['emotional', 'video', 'syria', 'show', 'two', 'boy', 'hugging', 'losing', 'brother']",0
"['elham', 'never', 'imagined', 'shed', 'see', '8yearold', 'daughter', 'beaten', 'riot', 'police', 'europe', 'aleppo', 'came', 'death', 'syria', 'look', 'happened', 'u', 'hundred', 'refugee', 'involved', 'violent', 'scene', 'hungaryserbia', 'border', 'wednesday', 'trying', 'break', 'razorwire', 'fence', 'hungary', 'made', 'illegal', 'enter', 'country', 'without', 'permission']",0
"['â', 'œwhat', 'countryâ', 'video', 'appears', 'show', 'syrian', 'civilian', 'confronting', 'u', 'troop', 'northeastern', 'syria']",0
"['moment', 'rescuer', 'rejoices', 'cry', 'save', 'monthold', 'baby', 'girl', 'reported', 'aftermath', 'air', 'strike', 'idlib', 'syria']",0
"['saw', 'explosion', 'front', 'grandfather', 'house', 'say', '13yearold', 'mazin', 'yusif', 'he', 'one', 'around', '30', 'syrian', 'rushed', 'reyhanli', 'state', 'hospital', 'appears', 'chemical', 'attack', 'idlib', 'province']",0
"['dont', 'add', 'fuel', 'fire', 'protester', 'take', 'street', 'london', 'madrid', 'calling', 'government', 'get', 'involved', 'syria']",0
"['shamima', 'begum', 'want', 'return', 'britain', 'joining', 'islamic', 'state', 'syria', 'aged', '15', 'lose', 'uk', 'citizenship', 'family', 'lawyer', 'say']",0
"['seven', 'year', 'war', 'seven', 'picture']",0
"['target', 'hit', 'u', 'ship', 'mediterranean', 'sea', 'included', 'air', 'base', 'u', 'say', 'syrian', 'aircraft', 'staged', 'tuesday', 'chemical', 'weapon', 'attack']",0
"['fleeing', 'war', 'syria', 'chocolatier', 'family', 'settle', 'canada', 'theyre', 'given', 'second', 'chance', 'sweet', 'life']",0
"['syrian', 'air', 'strike', 'killed', '250', 'people', 'east', 'ghouta', 'past', 'two', 'day']",0
"['breaking', 'senior', 'russian', 'military', 'official', 'say', 'syrian', 'air', 'defence', 'intercepted', 'least', '71', 'missile', 'fired', 'u', 'uk', 'france', 'force']",0
"['group', 'syrian', 'refugee', 'woman', 'turkey', 'set', 'factory', 'produce', 'clothes', 'family', 'border', 'syria', 'spent', 'day']",0
"['dont', 'want', 'see', 'u', 'dragged', 'another', 'war', 'syria', 'kid', 'country', 'cannot', 'afford', 'go', 'college', 'infrastructure', 'collapsing', '28', 'million', 'american', 'health', 'insurance', 'sen', 'bernie', 'sander', 'warned', 'focus', 'america', 'problem', 'work', 'foreign', 'ally']",0
"['force', 'loyal', 'president', 'bashar', 'alassad', 'case', 'entered', 'home', 'killed', 'inside', 'others', 'caught', 'killed', 'spot', 'fleeing', 'civilian', 'say', 'rupert', 'colville', 'un', 'right', 'office', 'spokesman']",0
