Headline,Class
"""This is Omran. He's alive. We wanted you to know."" CNN anchor Kate Bolduan gets emotional while reporting on this heartbreaking photo from Aleppo, Syria",Peace
"The heartbreaking face of war: Omran, a young boy bloodied from an airstrike in Syria, reminds us all of the human cost of the war",Peace
"Through tears, this 13-year-old Syrian boy recounts his story of the gas attack, which killed 19 members of his family",Peace
"Aya, 8, was pulled from rubble after an airstrike hit her home in Syria. Rescue workers tried to wipe the blood away as she shouted ""Baba,"" which means dad in Arabic.",Peace
We will give him a family and he will be our brother. A 6-year-old boy won the respect of President Obama when he wrote a letter offering to take in a little boy from Syria.,Peace
"France is bombing ISIS, targeting 20 sites in Syria after #ParisAttacks New video shows french jets departing for ISIS strongholds from an unknown location",Peace
"From Yemen to India, Syria to Sudan. Here's how Muslims are celebrating Ramadan around the world.",Peace
"This Dad lost his ""sweetheart"" baby twins, wife and 20 other relatives in the suspected chemical attack in Syria.",Peace
"They're saying that they're frightened for the children. Thousands of Kurdish civilians are fleeing Northern Syria after President Trump ordered US soldiers to withdraw, paving the way for a Turkish military offensive into the region. The Kurds had been a main ally to the United States in the battle against ISIS, but now feel abandoned and betrayed. We're in Northern Syria amid scenes of chaos, as families bury their dead and flee despite not knowing where safety is or where they will be able to sleep.",Peace
"CNN's Fareed Zakaria talks with Humans of New York photographer Brandon Stanton about his project documenting the lives of Syrian refugees, including Aya, who fled both Iraq and Syria.",Peace
"Russia says they are fighting Daesh [Islamic State], but Daesh has not been in our city for two years. There was not even any Free Syrian Army here, there were only civilians living here",Peace
"Artist's ""Choices for Syrian children"" illustration is a vivid reminder of the toll of the war in Syria",Peace
"""This place is a ticking time bomb."" Al-Hol is a sprawling encampment for those displaced from the former ISIS territory in northeastern Syria, and as living conditions worsen, nostalgia for ISISâ€™ rule is beginning to brew. CNNâ€™s Arwa Damon goes inside to see how families of ISIS members, shunned by the international community, are trying to bring their fundamentalist utopia back to life.",Peace
"""...we cannot, in one breath, speak of protecting Syrian babies and in the next close America's doors to them""",Peace
"This is the aftermath of a suspected chemical attack in Syria yesterday. At least 70 people were killed, medics say.",Peace
Russia says it significantly reduced #ISIS' export capabilities and income by striking oil tankers and storage facilities in Syria.,Peace
"Even before Russian President Vladimir Putin announced his intention to start air strikes on targets in Syria, some Russian news outlets and social media users started visualising Moscow's might overshadowing Washington's role in the conflict.",Peace
"Photos of a Syrian child in an ambulance are going viral, but such stories rarely capture public attention. In March 2015, Al Jazeera's Barry Malone wrote about worldwide indifference to the war in Syria.",Peace
Battle for #Aleppo: Final goodbyes from a city under siege in #Syria.,Peace
"A member of a local rescue team was killed and another injured in suspected Russian airstrikes in Idlib on Saturday. Known as the Syrian Civil Defence, or the White Helmets, this group of volunteer rescuers was formed in 2013 and now numbers more than 2,700 volunteers. Al Jazeera spoke to James Le Mesurier, founder of the programme in August.",Peace
"The world was outraged by the chemical attack in Idlib on April 4. For Syrians, it was a day like any other.",Peace
The Russian Ministry of Defense released new video showing cruise missile strikes in Syria.,Peace
"JUST IN: President Donald J. Trump said â€œAssad choked out the lives of helpless men, women and children,â€ after the US launched missiles into Syria Thursday night. http://cnn.it/2oGld6V:=:http://www.cnn.com/2017/04/06/politics/donald-trump-syria-military/index.html?sr=fbCNN040717donald-trump-syria-military0209AMVODtopVideo&linkId=36278069",Peace
Syrian government forces are once again accused of dropping chlorine bombs on civilian areas. At least one child died as a result of suffocation in Eastern Ghouta.,Peace
"Forty-one groups, including the powerful Ahrar al-Sham faction and some units fighting under the Free Syrian Army, condemned ""the Russian-Iranian alliance occupying Syria"".",Peace
Alex Assali became a refugee twice: once fleeing Assad in Syria and later fleeing ISIL in Libya. We met him after a photo of him feeding the homeless in Berlin went viral. We found a man looking for love.,Peace
Syrian children are STILL dying of malnutrition.,Peace
"A Turkish bakery is producing 170,000 loaves of bread per day and sending them to Syria's needy. It has been working six days a week for the past two years. Our Hassan Ghani writes about his encounter with the charity.",Peace
It's more complicated than you might think.,Peace
"""Their efforts to save lives in the most dangerous place on earth are awe-inspiring, and merit the deepest respect.",Peace
Napalm-like bombs are being dropped on Syria's Homs. This girl survived.,Peace
"On President Donald J. Trump's orders, US warships launched between 50-60 Tomahawk cruise missiles at a Syrian government airbase. The Pentagon has released the first footage showing the strike.",Peace
"BREAKING: French Ministry of Defense has announced major bombardment of #ISIS targets in Raqqa, Syria.",Peace
Exclusive report: Harrowing new footage shows the final moments of children killed in Syria chemical attack,Peace
"JUST IN: About 100 people killed as a bomb hits buses with evacuees near Aleppo, Syria, the Syria Civil Defense says",Peace
"In 2014, Khaled Omar Harrah, a White Helmet, rescued a 10-day-old baby who had been trapped under the rubble of a collapsed building for 16 hours. On August 11, he was killed in an air strike.",Peace
"Al Jazeera this week published special content on the 4th anniversary of the grinding conflict in Syria, because it's important. But our data told us something: few people cared.",Peace
Orphans in Syria make a plea to leave Aleppo.,Peace
"""The evil and the despicable attack left mothers and fathers, infants and children, thrashing in pain and gasping for air. These are not the actions of a man. They are crimes of a monster instead,"" President Donald J. Trump said, announcing that he ordered strikes on the Syrian regime in response to a suspected chemical weapon attack. https://cnn.it/2EK3Rte:=:https://www.cnn.com/2018/04/13/politics/trump-us-syria/index.html?sr=fbCNN041318trump-us-syria0922PMVODtopVideo",Peace
"Nurses were seen removing infants from the damaged incubators, with one hospital staff using a cloth to protect a visibly undernourished baby",Peace
BREAKING: The United States launched a military strike on Syrian government targets in retaliation for a chemical weapon attack on civilians earlier this week.,Peace
"The President was in â€œa belligerent state from the beginning,â€ says Sen. Bob Menendez, reacting to the meeting Democratic leaders had with Trump about Syria. â€œI am concerned for the nation and I am concerned about our fight against ISIS.â€",Peace
Meet the Arab women fighting ISIL in Syria.,Peace
"Syria's President Bashar-al Assad says reports of a chemical attack by his forces were ""100% fabrication"".",Peace
"""The word ""iconic"" has become positively obscene. Syria has run out of icons. Syria is a pain with no barometer for measurement."" - Hamid Dabashi",Peace
"Besieged by Syrian regime forces and Hezbollah fighters for over 170 days, people in Madaya, Syria are starving to death. ""There are no more cats or dogs alive in the town. Even tree leaves that we have been eating have become scarce,"" one resident told Al Jazeera.",Peace
This emotional video from Syria shows two boys hugging after losing their brother.,Peace
"Elham never imagined she'd see her 8-year-old daughter beaten by riot police in Europe. ""We're from Aleppo. We came from death in Syria and look what happened to us here."" Hundreds of refugees were involved in violent scenes at the Hungary-Serbia border on Wednesday. They were trying to break through a razor-wire fence after Hungary made it illegal to enter the country without permission.",Peace
â€œWhat are you doing in my country?â€ This video appears to show a Syrian civilian confronting US troops in northeastern Syria.,Peace
"The moment a rescuer rejoices and cries after he saves a month-old baby girl from what is reported to be the aftermath of an air strike in Idlib, Syria.",Peace
"""I saw the explosion in front of my grandfather's house,"" says 13-year-old Mazin Yusif. He's one of around 30 Syrians rushed to Reyhanli State Hospital after what appears to have been a chemical attack in Idlib province.",Peace
"""Don't add fuel to the fire"": Protesters take to the streets of London and Madrid calling on their governments not to get involved in Syria",Peace
"Shamima Begum, who wants to return to Britain after joining Islamic State in Syria aged 15, is to lose her UK citizenship, her family's lawyer says.",Peace
"Seven years of war, in seven pictures.",Peace
The targets hit from US ships in the Mediterranean Sea included the air base from which the US says Syrian aircraft staged Tuesday's chemical weapons attack.,Peace
"After fleeing war in Syria, a chocolatier and his family settle in Canada where they're given a second chance at a sweet life.",Peace
Syrian air strikes have killed more than 250 people in East Ghouta over the past two days.,Peace
"BREAKING: A senior Russian military official says that Syrian air defence intercepted at least 71 missiles fired by US, UK and France forces.",Peace
A group of Syrian refugee women in Turkey have set up their own factory to produce clothes for families over the border in Syria. We spent the day with them.,Peace
"""I don't want to see us dragged into another war in Syria when kids in this country cannot afford to go to college, when our infrastructure is collapsing, when 28 million Americans have no health insurance,"" Sen. Bernie Sanders warned that we should focus on America's problems and work with our foreign allies",Peace
"Forces loyal to President Bashar al-Assad have in some cases entered homes and killed those inside, and in others ""caught and killed on the spot"" fleeing civilians, says Rupert Colville, UN rights office spokesman.",Peace
"""Me and many innocent children like me are going to be murdered in cold blood."" Syria and Russia have carried out their most intensive air strikes in weeks in the Syrian province of Idlib, the last remaining rebel stronghold in the war-torn country. Idlib resident, 16-year-old Muhammad Najem, has recorded a video message calling on US President Donald J. Trump to ""send international observers to protect children like me"".",Peace
"French warplanes take off from an aircraft carrier, attacking #ISIS in #Syria and #Iraq.",Peace
"Ramadan 2016: '224 killed, including many women and children",Peace
"â€œTo Iran and to Russia, I ask: What kind of a nation wants to be associated with a mass murderer of innocent men, women and children?â€ President Donald J. Trump said after announcing that he ordered strikes on the Syrian regime.",Peace
"""Countries who stayed silent while massacres were carried out in Syria, while babies were killed in [the Syrian city of] Idlib, are now doing this, not to another country, but specifically to Qatar for a reason we cannot understand,"" senior Turkish official tells Al Jazeera.",Peace
