Headline,Galtung's Criteria,Class
"Former Yemeni President Ali Abdullah Saleh has sent messages to Arab Gulf states, asking for a safe exit for himself and his family, sources told Al Jazeera.","Focus on ""our"" suffering; on able-bodied elite males, being their mouth-piece.",War
Neither Hamas nor the Israeli army are prepared to comment on news that an Israeli soldier has been kidnapped by Qassam brigade #Gaza,"Focus on ""our"" suffering; on able-bodied elite males, being their mouth-piece.",War
"""To see the pictures of these men being treated like cattle, and to hear the auctioneer describe them as 'big strong boys for farm work' should shock the conscience of us all.""","Focus on ""our"" suffering; on able-bodied elite males, being their mouth-piece.",War
"""After failing to fulfil the agreements that they themselves worked out, they are trying to shift responsibility on to someone else.""","Focus on ""our"" suffering; on able-bodied elite males, being their mouth-piece.",War
"From the war in Yemen to the abduction of Lebanon's leader, here's a list of controversial acts by the Saudi crown prince","Focus on ""our"" suffering; on able-bodied elite males, being their mouth-piece.",War
"Saudi Arabia's crown prince has told two former American officials that he ""wants out"" of the two-year war he started in Yemen, and that he is not against US rapprochement with Iran, according to leaked emails published by the Middle East Eye.","Focus on ""our"" suffering; on able-bodied elite males, being their mouth-piece.",War
"Prince Ahmed bin Abdulaziz is considering not returning home after video criticising King Salman and Crown Prince Mohammed bin Salman, reports the Middle East Eye.","Focus on ""our"" suffering; on able-bodied elite males, being their mouth-piece.",War
"Saudi King Salman and his son MBS have an increasingly strained relationship and are at odds on a number of issues, including the war in Yemen, according to a UK media report.","Focus on ""our"" suffering; on able-bodied elite males, being their mouth-piece.",War
"""The Saudi military campaign in Yemen has been a disaster since day one.""","Focus on ""our"" suffering; on able-bodied elite males, being their mouth-piece.",War
White House tells its ambassador to leave Sanaa by Wednesday as its orders the closure of its embassy in Yemen,"Focus on ""our"" suffering; on able-bodied elite males, being their mouth-piece.",War
Hadi and much of his government have been in the Saudi capital Riyadh for most of the war.,"Focus on ""our"" suffering; on able-bodied elite males, being their mouth-piece.",War
"The #SpyCables expose 'desperate' US approach to Hamas Classified South African documents obtained by Al Jazeera also reveal an approach by Israel's then-secret service chief, Meir Dagan, seeking Pretoria's help in its efforts to scupper a landmark UN-authorised probe into alleged war crimes in Gaza, which was headed by South African judge Richard Goldstone.","Focus on ""our"" suffering; on able-bodied elite males, being their mouth-piece.",War
"What does Saif al-Islam Gaddafi's release from prison mean for Libya, as it struggles with violence and competing governments?","Focus on ""our"" suffering; on able-bodied elite males, being their mouth-piece.",War
"""If Saif al-Islam wants to return to power, what was the point of the revolution?""","Focus on ""our"" suffering; on able-bodied elite males, being their mouth-piece.",War
